id,season,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
9645,2014/2015,9823,8721,2,1
9646,2014/2015,9789,8178,0,2
9647,2014/2015,9788,10269,1,1
9648,2014/2015,8226,8406,2,0
9649,2014/2015,9904,10189,2,1
9650,2014/2015,8177,8697,2,2
9651,2014/2015,9810,8358,1,0
9652,2014/2015,8722,9790,0,0
9653,2014/2015,8460,9905,2,2
9654,2014/2015,9823,9789,2,1
9655,2014/2015,10189,8406,1,0
9656,2014/2015,9788,8226,3,1
9657,2014/2015,9905,8697,1,2
9658,2014/2015,9904,9810,1,0
9659,2014/2015,10269,8721,0,4
9660,2014/2015,9790,8178,1,0
9661,2014/2015,8722,8358,0,1
9662,2014/2015,8460,8177,3,1
9663,2014/2015,9789,9788,1,0
9664,2014/2015,8178,9905,0,0
9665,2014/2015,8721,9790,2,0
9666,2014/2015,8406,8460,3,0
9667,2014/2015,8226,8722,3,4
9668,2014/2015,8177,9904,0,2
9669,2014/2015,8697,10269,2,0
9670,2014/2015,9810,9823,0,4
9671,2014/2015,8358,10189,2,0
9672,2014/2015,9823,8226,4,0
9673,2014/2015,10189,8721,3,2
9674,2014/2015,9788,9810,1,3
9675,2014/2015,9905,8358,2,2
9676,2014/2015,9904,8178,1,3
9677,2014/2015,10269,8406,0,1
9678,2014/2015,9790,8697,2,0
9679,2014/2015,8722,8177,1,2
9680,2014/2015,8460,9789,2,2
9681,2014/2015,10189,9905,4,1
9682,2014/2015,8178,8722,5,1
9683,2014/2015,8721,9788,1,0
9684,2014/2015,8406,9790,3,1
9685,2014/2015,8226,9904,4,3
9686,2014/2015,8177,9823,0,1
9687,2014/2015,8697,8460,4,0
9688,2014/2015,9810,9789,2,0
9689,2014/2015,8358,10269,1,4
9690,2014/2015,9823,8178,1,0
9691,2014/2015,9789,8226,1,0
9692,2014/2015,9788,8177,3,2
9693,2014/2015,9904,8721,1,3
9694,2014/2015,9810,8697,5,2
9695,2014/2015,10269,10189,0,4
9696,2014/2015,9790,9905,2,1
9697,2014/2015,8722,8406,1,2
9698,2014/2015,8460,8358,1,1
9699,2014/2015,10189,8722,1,2
9700,2014/2015,8178,9788,1,1
9701,2014/2015,8721,8460,1,1
9702,2014/2015,9905,10269,1,1
9703,2014/2015,8406,9823,0,4
9704,2014/2015,8226,9810,3,2
9705,2014/2015,8177,9789,1,0
9706,2014/2015,8697,9904,3,3
9707,2014/2015,8358,9790,0,0
9708,2014/2015,9823,8358,2,0
9709,2014/2015,9789,8721,2,2
9710,2014/2015,9788,8697,4,1
9711,2014/2015,8226,8178,0,1
9712,2014/2015,9904,8406,2,0
9713,2014/2015,9810,8177,4,4
9714,2014/2015,9790,10269,0,1
9715,2014/2015,8722,9905,0,0
9716,2014/2015,8460,10189,1,2
9717,2014/2015,10189,9790,0,0
9718,2014/2015,8178,9810,1,1
9719,2014/2015,8721,8722,2,1
9720,2014/2015,9905,9823,1,2
9721,2014/2015,8406,9788,2,1
9722,2014/2015,8177,8226,0,5
9723,2014/2015,8697,9789,2,1
9724,2014/2015,8358,9904,2,2
9725,2014/2015,10269,8460,0,0
9726,2014/2015,10189,9904,1,0
9727,2014/2015,8178,9789,0,0
9728,2014/2015,8721,9823,4,1
9729,2014/2015,9905,8460,5,0
9730,2014/2015,8406,8226,3,1
9731,2014/2015,8697,8177,2,0
9732,2014/2015,8358,9810,4,1
9733,2014/2015,10269,9788,0,1
9734,2014/2015,9790,8722,0,2
9735,2014/2015,9823,10189,1,1
9736,2014/2015,9789,8406,0,1
9737,2014/2015,9788,8358,1,0
9738,2014/2015,8226,8697,1,2
9739,2014/2015,9904,9905,1,1
9740,2014/2015,8177,8178,0,1
9741,2014/2015,9810,8721,1,1
9742,2014/2015,8722,10269,0,0
9743,2014/2015,8460,9790,0,3
9744,2014/2015,10189,9823,1,1
9745,2014/2015,8178,8177,4,2
9746,2014/2015,8721,9810,2,2
9747,2014/2015,9905,9904,0,0
9748,2014/2015,8406,9789,2,3
9749,2014/2015,8697,8226,1,1
9750,2014/2015,8358,9788,0,0
9751,2014/2015,10269,8722,0,2
9752,2014/2015,9790,8460,0,3
9753,2014/2015,10189,9788,1,0
9754,2014/2015,8721,8226,3,0
9755,2014/2015,9905,8177,0,2
9756,2014/2015,8406,9810,2,2
9757,2014/2015,8697,8178,2,1
9758,2014/2015,8358,9789,0,3
9759,2014/2015,10269,9823,0,2
9760,2014/2015,9790,9904,2,1
9761,2014/2015,8722,8460,0,0
9762,2014/2015,9823,9790,8,0
9763,2014/2015,9789,9905,4,2
9764,2014/2015,8178,8721,4,5
9765,2014/2015,9788,8722,1,0
9766,2014/2015,8226,10269,2,1
9767,2014/2015,9904,8460,1,2
9768,2014/2015,8177,8358,0,2
9769,2014/2015,8697,8406,3,2
9770,2014/2015,9810,10189,1,0
9771,2014/2015,10189,8697,1,1
9772,2014/2015,8721,8177,2,1
9773,2014/2015,9905,9810,3,1
9774,2014/2015,8406,8178,2,2
9775,2014/2015,8358,8226,1,1
9776,2014/2015,10269,9789,2,3
9777,2014/2015,9790,9788,1,1
9778,2014/2015,8722,9904,1,1
9779,2014/2015,8460,9823,0,6
9780,2014/2015,9823,8722,4,1
9781,2014/2015,9789,10189,3,0
9782,2014/2015,8178,8358,1,0
9783,2014/2015,9788,8460,2,0
9784,2014/2015,8226,9905,2,0
9785,2014/2015,9904,10269,1,1
9786,2014/2015,8177,8406,1,0
9787,2014/2015,8697,8721,3,5
9788,2014/2015,9810,9790,2,1
9789,2014/2015,10189,8226,3,1
9790,2014/2015,9905,9788,2,2
9791,2014/2015,8406,8721,1,0
9792,2014/2015,9904,9823,1,3
9793,2014/2015,8358,8697,0,1
9794,2014/2015,10269,8177,0,0
9795,2014/2015,9790,9789,0,0
9796,2014/2015,8722,9810,4,2
9797,2014/2015,8460,8178,0,3
9798,2014/2015,9789,8722,0,0
9799,2014/2015,8178,10269,4,0
9800,2014/2015,8721,8358,3,0
9801,2014/2015,9788,9904,2,0
9802,2014/2015,8406,9905,0,2
9803,2014/2015,8226,9790,3,0
9804,2014/2015,8177,10189,2,2
9805,2014/2015,8697,9823,0,4
9806,2014/2015,9810,8460,4,0
9807,2014/2015,9823,9788,0,2
9808,2014/2015,10189,8178,0,1
9809,2014/2015,9905,8721,1,1
9810,2014/2015,9904,9789,2,3
9811,2014/2015,8358,8406,2,0
9812,2014/2015,10269,9810,3,1
9813,2014/2015,9790,8177,0,1
9814,2014/2015,8722,8697,1,1
9815,2014/2015,8460,8226,0,0
9816,2014/2015,9789,9823,0,1
9817,2014/2015,8178,9790,4,0
9818,2014/2015,8721,10269,3,1
9819,2014/2015,8406,10189,0,0
9820,2014/2015,8226,9788,1,4
9821,2014/2015,8177,8460,2,0
9822,2014/2015,8697,9905,0,0
9823,2014/2015,9810,9904,2,2
9824,2014/2015,8358,8722,1,0
9825,2014/2015,9823,9810,3,0
9826,2014/2015,10189,8358,0,0
9827,2014/2015,9788,9789,3,1
9828,2014/2015,9905,8178,2,3
9829,2014/2015,9904,8177,1,1
9830,2014/2015,10269,8697,3,2
9831,2014/2015,9790,8721,0,2
9832,2014/2015,8722,8226,3,2
9833,2014/2015,8460,8406,2,1
9834,2014/2015,9789,8460,3,0
9835,2014/2015,8178,9904,4,0
9836,2014/2015,8721,10189,1,1
9837,2014/2015,8406,10269,2,1
9838,2014/2015,8226,9823,0,2
9839,2014/2015,8177,8722,0,0
9840,2014/2015,8697,9790,1,0
9841,2014/2015,9810,9788,0,0
9842,2014/2015,8358,9905,2,3
9843,2014/2015,9823,10269,2,0
9844,2014/2015,9789,8358,3,1
9845,2014/2015,8178,8697,3,3
9846,2014/2015,9788,10189,4,1
9847,2014/2015,8226,8721,1,1
9848,2014/2015,9904,9790,2,0
9849,2014/2015,8177,9905,1,3
9850,2014/2015,9810,8406,0,1
9851,2014/2015,8460,8722,0,0
9852,2014/2015,9823,8177,1,0
9853,2014/2015,9789,9810,2,0
9854,2014/2015,9788,8721,1,0
9855,2014/2015,9905,10189,2,0
9856,2014/2015,9904,8226,1,2
9857,2014/2015,10269,8358,2,2
9858,2014/2015,9790,8406,3,2
9859,2014/2015,8722,8178,1,1
9860,2014/2015,8460,8697,2,2
9861,2014/2015,10189,10269,3,2
9862,2014/2015,8178,9823,2,0
9863,2014/2015,8721,9904,2,2
9864,2014/2015,9905,9790,1,2
9865,2014/2015,8406,8722,0,0
9866,2014/2015,8226,9789,1,1
9867,2014/2015,8177,9788,1,2
9868,2014/2015,8697,9810,1,0
9869,2014/2015,8358,8460,1,2
9870,2014/2015,9823,8406,0,1
9871,2014/2015,9789,8177,2,0
9872,2014/2015,9788,8178,3,0
9873,2014/2015,9904,8697,1,1
9874,2014/2015,9810,8226,3,1
9875,2014/2015,10269,9905,2,0
9876,2014/2015,9790,8358,1,1
9877,2014/2015,8722,10189,2,0
9878,2014/2015,8460,8721,1,3
9879,2014/2015,10189,8460,1,0
9880,2014/2015,8178,8226,2,0
9881,2014/2015,8721,9789,2,1
9882,2014/2015,9905,8722,2,0
9883,2014/2015,8406,9904,1,2
9884,2014/2015,8177,9810,0,0
9885,2014/2015,8697,9788,0,2
9886,2014/2015,8358,9823,2,1
9887,2014/2015,10269,9790,2,1
9888,2014/2015,9823,9905,2,0
9889,2014/2015,9789,8697,3,2
9890,2014/2015,9788,8406,1,3
9891,2014/2015,8226,8177,2,1
9892,2014/2015,9904,8358,2,1
9893,2014/2015,9810,8178,2,1
9894,2014/2015,9790,10189,2,0
9895,2014/2015,8722,8721,2,2
9896,2014/2015,8460,10269,1,2
9897,2014/2015,10189,9810,2,2
9898,2014/2015,8721,8178,4,1
9899,2014/2015,9905,9789,2,0
9900,2014/2015,8406,8697,4,2
9901,2014/2015,8358,8177,2,2
9902,2014/2015,10269,8226,0,2
9903,2014/2015,9790,9823,0,0
9904,2014/2015,8722,9788,0,0
9905,2014/2015,8460,9904,2,0
9906,2014/2015,9823,8460,4,0
9907,2014/2015,9789,10269,2,2
9908,2014/2015,8178,8406,1,0
9909,2014/2015,9788,9790,1,0
9910,2014/2015,8226,8358,3,3
9911,2014/2015,9904,8722,1,0
9912,2014/2015,8177,8721,1,0
9913,2014/2015,8697,10189,0,3
9914,2014/2015,9810,9905,2,2
9915,2014/2015,10189,9789,2,1
9916,2014/2015,8721,8697,2,1
9917,2014/2015,9905,8226,0,0
9918,2014/2015,8406,8177,1,0
9919,2014/2015,8358,8178,0,0
9920,2014/2015,10269,9904,1,0
9921,2014/2015,9790,9810,1,2
9922,2014/2015,8722,9823,0,2
9923,2014/2015,8460,9788,1,2
9924,2014/2015,9823,9904,4,0
9925,2014/2015,9789,9790,0,1
9926,2014/2015,8178,8460,2,2
9927,2014/2015,8721,8406,1,0
9928,2014/2015,9788,9905,1,1
9929,2014/2015,8226,10189,2,1
9930,2014/2015,8177,10269,3,2
9931,2014/2015,8697,8358,1,1
9932,2014/2015,9810,8722,3,2
9933,2014/2015,9823,8697,6,0
9934,2014/2015,10189,8177,2,0
9935,2014/2015,9905,8406,2,1
9936,2014/2015,9904,9788,0,3
9937,2014/2015,8358,8721,1,2
9938,2014/2015,10269,8178,3,3
9939,2014/2015,9790,8226,1,1
9940,2014/2015,8722,9789,2,1
9941,2014/2015,8460,9810,3,1
9942,2014/2015,9789,9904,0,1
9943,2014/2015,8178,10189,1,0
9944,2014/2015,8721,9905,3,0
9945,2014/2015,9788,9823,0,0
9946,2014/2015,8406,8358,2,0
9947,2014/2015,8226,8460,1,0
9948,2014/2015,8177,9790,3,0
9949,2014/2015,8697,8722,0,1
9950,2014/2015,9810,10269,4,5
9951,2015/2016,9823,9790,5,0
9952,2015/2016,9789,9788,4,0
9953,2015/2016,8178,8226,2,1
9954,2015/2016,8721,9810,2,1
9955,2015/2016,10269,8722,1,3
9956,2015/2016,8406,8177,0,1
9957,2015/2016,8697,10189,0,3
9958,2015/2016,9905,8234,0,1
9959,2015/2016,8262,9904,2,2
9960,2015/2016,9823,8722,4,0
9961,2015/2016,9789,8406,5,1
9962,2015/2016,8178,10269,4,3
9963,2015/2016,9788,10189,3,1
9964,2015/2016,9904,9810,1,2
9965,2015/2016,8226,9790,0,1
9966,2015/2016,9905,8697,1,3
9967,2015/2016,8234,8177,0,1
9968,2015/2016,8262,8721,0,1
9969,2015/2016,10189,8234,1,1
9970,2015/2016,8721,8178,2,1
9971,2015/2016,9790,9904,1,2
9972,2015/2016,10269,8262,2,0
9973,2015/2016,8406,9905,3,3
9974,2015/2016,8697,9789,1,3
9975,2015/2016,9810,9823,0,0
9976,2015/2016,8722,8226,0,0
9977,2015/2016,8177,9788,1,4
9978,2015/2016,9823,10269,4,0
9979,2015/2016,9789,10189,3,2
9980,2015/2016,8178,8722,1,2
9981,2015/2016,9788,8234,0,0
9982,2015/2016,8406,8697,1,2
9983,2015/2016,9904,8177,1,3
9984,2015/2016,8226,9810,0,0
9985,2015/2016,9905,8721,2,0
9986,2015/2016,8262,9790,1,1
9987,2015/2016,10189,9823,1,3
9988,2015/2016,9788,9904,2,1
9989,2015/2016,8721,8697,6,0
9990,2015/2016,9790,9789,3,1
9991,2015/2016,10269,8406,0,4
9992,2015/2016,9810,8178,1,3
9993,2015/2016,8722,9905,0,0
9994,2015/2016,8177,8226,1,0
9995,2015/2016,8234,8262,3,1
9996,2015/2016,9823,8177,2,0
9997,2015/2016,9789,10269,4,1
9998,2015/2016,8178,10189,1,1
9999,2015/2016,8406,8721,0,0
10000,2015/2016,8697,9790,1,3
10001,2015/2016,9904,8234,4,0
10002,2015/2016,8226,9788,3,3
10003,2015/2016,9905,9810,2,1
10004,2015/2016,8262,8722,0,0
10005,2015/2016,10189,9904,3,1
10006,2015/2016,9788,9823,3,1
10007,2015/2016,8721,9789,1,2
10008,2015/2016,9790,9905,1,3
10009,2015/2016,10269,8697,1,1
10010,2015/2016,9810,8262,0,1
10011,2015/2016,8722,8406,0,1
10012,2015/2016,8177,8178,2,1
10013,2015/2016,8234,8226,1,1
10014,2015/2016,9823,8234,2,0
10015,2015/2016,9789,9810,4,1
10016,2015/2016,8178,9788,5,0
10017,2015/2016,8721,9790,1,1
10018,2015/2016,8406,10189,2,1
10019,2015/2016,8697,8722,1,1
10020,2015/2016,8226,9904,1,0
10021,2015/2016,9905,10269,0,0
10022,2015/2016,8262,8177,0,4
10023,2015/2016,10189,8226,1,0
10024,2015/2016,9788,8262,3,2
10025,2015/2016,9790,8406,0,1
10026,2015/2016,10269,8721,3,1
10027,2015/2016,9810,8697,2,1
10028,2015/2016,8722,9789,2,1
10029,2015/2016,9904,9823,0,1
