id,season,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,awaypos,homepos
9645,2014/2015,9823,8721,2,1,1.25,6,10,1.26,5.75,10,1.28,5.5,8.5,1.25,6.5,10,1.28,6.47,12,1.2,7,12,1.29,6,12,44,56
9646,2014/2015,9789,8178,0,2,1.57,4.33,5,1.62,4,5,1.55,4.3,5,1.57,4,5.5,1.63,4.39,5.56,1.62,4.2,5,1.65,4,6,47,53
9647,2014/2015,9788,10269,1,1,1.95,3.5,3.75,1.95,3.5,3.7,1.9,3.45,3.8,1.9,3.6,3.8,1.94,3.73,4.22,1.95,3.5,3.8,1.95,3.6,4.2,44,56
9648,2014/2015,8226,8406,2,0,1.91,3.6,3.8,1.95,3.5,3.7,2,3.4,3.5,1.9,3.6,3.75,1.96,3.83,4.02,1.95,3.5,3.8,2,3.75,3.75,49,51
9649,2014/2015,9904,10189,2,1,2.9,3.5,2.3,2.85,3.5,2.3,2.85,3.4,2.3,3,3.4,2.3,3.15,3.58,2.37,3.2,3.2,2.3,3.2,3.5,2.38,57,43
9650,2014/2015,8177,8697,2,2,1.95,3.5,3.75,1.95,3.6,3.6,2,3.3,3.6,2,3.4,3.75,1.97,3.67,4.16,1.95,3.5,3.8,2,3.5,4.1,39,61
9651,2014/2015,9810,8358,1,0,2.05,3.4,3.6,2.05,3.4,3.5,2,3.4,3.5,2,3.5,3.6,2.04,3.63,3.93,2.1,3.3,3.5,2.05,3.5,4,45,55
9652,2014/2015,8722,9790,0,0,2,3.5,3.6,2.05,3.5,3.4,2.1,3.3,3.3,2,3.4,3.4,2.04,3.67,3.89,2.05,3.6,3.4,2.05,3.6,3.8,55,45
9653,2014/2015,8460,9905,2,2,3.1,3.4,2.25,2.85,3.4,2.35,2.75,3.3,2.4,2.87,3.4,2.37,3.15,3.43,2.43,3.1,3.1,2.4,3,3.5,2.45,60,40
9654,2014/2015,9823,9789,2,1,1.44,4.5,6.5,1.53,4.1,6.25,1.53,3.85,6,1.44,4.5,6.5,1.5,4.78,7.05,1.5,4.33,6,1.5,4.5,6.5,36,64
9655,2014/2015,10189,8406,1,0,1.91,3.6,3.8,1.95,3.4,3.75,1.85,3.45,4,1.9,3.6,4,1.98,3.69,4.09,1.91,3.6,3.75,1.95,3.6,3.9,48,52
9656,2014/2015,9788,8226,3,1,1.95,3.5,3.75,1.95,3.4,3.8,1.9,3.45,3.8,1.95,3.5,3.75,2.01,3.71,3.95,2,3.5,3.6,2.05,3.75,3.6,42,58
9657,2014/2015,9905,8697,1,2,1.73,4,4.33,1.78,3.5,4.5,1.77,3.6,4.2,1.66,4,4.75,1.82,3.95,4.59,1.83,3.5,4.2,1.87,4,4.2,40,60
9658,2014/2015,9904,9810,1,0,2.25,3.4,3.1,2.35,3.3,2.9,2.2,3.3,3.1,2.3,3.5,3,2.31,3.63,3.21,2.3,3.5,2.9,2.3,3.5,3.1,36,64
9659,2014/2015,10269,8721,0,4,3.3,3.5,2.1,3.1,3.3,2.25,2.9,3.3,2.3,3.2,3.5,2.15,3.35,3.71,2.21,3.2,3.2,2.25,3.2,3.5,2.2,47,53
9660,2014/2015,9790,8178,1,0,3.4,3.5,2.05,3.5,3.4,2.05,3.3,3.3,2.1,3.6,3.5,2,3.82,3.73,2.04,3.4,3.5,2.05,3.6,3.6,2.05,50,50
9661,2014/2015,8722,8358,0,1,1.91,3.6,3.8,1.91,3.4,3.9,1.9,3.3,4,1.95,3.5,3.75,1.94,3.6,4.39,1.91,3.4,4,1.92,3.6,4.3,52,48
9662,2014/2015,8460,8177,3,1,2.5,3.5,2.63,2.7,3.1,2.7,2.5,3.3,2.65,2.37,3.5,2.8,2.62,3.49,2.84,2.62,3.2,2.7,2.7,3.5,2.7,45,55
9663,2014/2015,9789,9788,1,0,1.57,4.33,5,1.65,3.75,5,1.65,3.7,4.9,1.57,4,5.5,1.61,4.44,5.75,1.62,3.75,5.5,1.62,4.3,5.4,34,66
9664,2014/2015,8178,9905,0,0,1.5,4.33,6,1.53,3.9,6.25,1.5,4,6.1,1.5,4.33,6,1.5,4.75,6.92,1.53,4,6,1.55,4.5,6.25,49,51
9665,2014/2015,8721,9790,2,0,1.57,4.2,5.25,1.62,3.9,5,1.6,3.9,5,1.61,4,5,1.63,4.33,5.71,1.62,3.75,5.5,1.65,4.2,5.4,38,62
9666,2014/2015,8406,8460,3,0,1.73,3.8,4.5,1.83,3.5,4.2,1.8,3.5,4.2,1.8,3.6,4.33,1.79,3.81,5.04,1.8,3.5,4.5,1.83,3.8,4.6,56,44
9667,2014/2015,8226,8722,3,4,1.8,3.8,4,1.85,3.4,4.25,1.75,3.5,4.5,1.75,3.75,4.33,1.85,3.74,4.67,1.83,3.5,4.33,1.87,3.8,4.4,45,55
9668,2014/2015,8177,9904,0,2,2.05,3.4,3.5,2.1,3.25,3.5,2.1,3.3,3.3,2.05,3.4,3.6,2.11,3.57,3.75,2.05,3.4,3.6,2.1,3.4,3.6,57,43
9669,2014/2015,8697,10269,2,0,2.63,3.3,2.63,2.65,3.2,2.65,2.65,3.3,2.5,2.5,3.4,2.7,2.63,3.73,2.68,2.62,3.3,2.62,2.62,3.5,2.62,55,45
9670,2014/2015,9810,9823,0,4,13,7,1.18,11.5,6.25,1.24,10,6,1.23,12,6,1.22,14.15,7.05,1.24,12,6,1.22,15,7,1.2,64,36
9671,2014/2015,8358,10189,2,0,2.63,3.5,2.5,2.6,3.3,2.6,2.9,3.3,2.3,2.87,3.4,2.37,2.84,3.43,2.66,2.7,3.2,2.62,2.8,3.5,2.55,50,50
9672,2014/2015,9823,8226,4,0,1.14,8,15,1.17,7.25,14.5,1.17,6.5,14,1.14,8,15,1.17,9.04,17.4,1.17,7,15,1.17,9,18,37,63
9673,2014/2015,10189,8721,3,2,3,3.4,2.3,2.95,3.25,2.35,2.65,3.3,2.5,2.9,3.5,2.38,3.21,3.61,2.27,3,3.2,2.37,3,3.4,2.3,52,48
9674,2014/2015,9788,9810,1,3,1.36,5,7.5,1.45,4.33,6.5,1.5,4,6.1,1.44,4.33,7,1.4,5.34,8.39,1.44,4.33,7,1.45,4.8,7,41,59
9675,2014/2015,9905,8358,2,2,2.15,3.3,3.4,2.2,3.3,3.2,2,3.3,3.6,2.05,3.4,3.5,2.17,3.49,3.66,2.2,3.3,3.3,2.2,3.4,3.5,41,59
