id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
15617,9823,21,FC Bayern Munich,BMU
15618,9790,28,Hamburger SV,HAM
15619,8178,32,Bayer 04 Leverkusen,LEV
15620,9789,22,Borussia Dortmund,DOR
15621,10189,34,FC Schalke 04,S04
15622,9904,485,Hannover 96,HAN
15623,8721,175,VfL Wolfsburg,WOL
15624,8722,31,1. FC Köln,FCK
15625,9810,1824,Eintracht Frankfurt,EFR
15626,8177,166,Hertha BSC Berlin,HBE
15628,8697,38,SV Werder Bremen,WBR
15630,8226,10029,TSG 1899 Hoffenheim,HOF
15631,9788,23,Borussia Mönchengladbach,GLA
15632,10269,36,VfB Stuttgart,STU
16237,8358,25,SC Freiburg,FRE
16243,9905,169,1. FSV Mainz 05,MAI
17465,8406,100409,FC Augsburg,AUG
19305,8460,10030,SC Paderborn 07,PAD
19916,8234,111239,FC Ingolstadt 04,ING
19917,8262,110502,SV Darmstadt 98,DAR
