,id,country_id,league_id,season,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A
22,4769,4769,4769,2008/2009,2008-08-09 00:00:00,483129,8583,9830,2,1,2.1,3.1,3.75
23,4770,4769,4769,2008/2009,2008-08-09 00:00:00,483130,9827,7819,2,1,1.57,3.6,6.5
24,4771,4769,4769,2008/2009,2008-08-09 00:00:00,483131,9746,9831,1,0,2.3,3.0,3.4
25,4772,4769,4769,2008/2009,2008-08-09 00:00:00,483132,8682,8689,0,1,2.1,3.1,3.8
26,4774,4769,4769,2008/2009,2008-08-09 00:00:00,483134,9829,9847,1,0,2.4,3.1,3.1
27,4775,4769,4769,2008/2009,2008-08-09 00:00:00,483135,8481,8639,0,0,2.15,3.1,3.6
28,4776,4769,4769,2008/2009,2008-08-09 00:00:00,483136,9851,8592,4,4,2.7,3.0,2.8
29,4777,4769,4769,2008/2009,2008-08-09 00:00:00,483137,9874,9855,1,2,1.91,3.2,4.33
30,4778,4769,4769,2008/2009,2008-08-09 00:00:00,483138,9873,9853,1,0,2.4,3.1,3.1
35,19694,19694,19694,2008/2009,2008-08-09 00:00:00,489981,8596,8548,0,1,6.5,4.0,1.5
36,19695,19694,19694,2008/2009,2008-08-09 00:00:00,489982,9860,9927,3,2,2.0,3.25,3.25
37,19696,19694,19694,2008/2009,2008-08-09 00:00:00,489983,8597,10251,1,0,2.4,3.2,2.62
38,19697,19694,19694,2008/2009,2008-08-09 00:00:00,489984,8485,8066,0,2,1.73,3.4,4.2
42,4773,4769,4769,2008/2009,2008-08-10 00:00:00,483133,9748,9941,3,0,1.33,4.5,11.0
45,19698,19694,19694,2008/2009,2008-08-10 00:00:00,489985,9925,9800,1,0,1.17,6.5,17.0
48,19699,19694,19694,2008/2009,2008-08-11 00:00:00,489986,8429,9938,3,1,3.6,3.25,2.1
49,7809,7809,7809,2008/2009,2008-08-15 00:00:00,499317,9823,9790,2,2,1.57,3.8,6.0
52,2,1,1,2008/2009,2008-08-16 00:00:00,492474,10000,9994,0,0,1.95,3.2,3.6
53,3,1,1,2008/2009,2008-08-16 00:00:00,492475,9984,8635,0,3,2.38,3.3,2.75
54,5,1,1,2008/2009,2008-08-16 00:00:00,492477,7947,9985,1,3,5.0,3.5,1.65
55,7,1,1,2008/2009,2008-08-16 00:00:00,492479,9999,8571,2,2,2.1,3.2,3.3
56,8,1,1,2008/2009,2008-08-16 00:00:00,492480,4049,9996,1,2,3.2,3.4,2.2
57,9,1,1,2008/2009,2008-08-16 00:00:00,492481,10001,9986,1,0,2.25,3.25,2.88
58,1730,1729,1729,2008/2009,2008-08-16 00:00:00,489043,9825,8659,1,0,1.2,6.5,15.0
59,1731,1729,1729,2008/2009,2008-08-16 00:00:00,489044,8472,8650,0,1,5.5,3.6,1.67
60,1732,1729,1729,2008/2009,2008-08-16 00:00:00,489045,8654,8528,2,1,1.91,3.4,4.2
61,1734,1729,1729,2008/2009,2008-08-16 00:00:00,489047,8668,8655,2,3,2.0,3.3,4.0
62,1735,1729,1729,2008/2009,2008-08-16 00:00:00,489048,8549,8586,2,1,3.2,3.4,2.25
63,1736,1729,1729,2008/2009,2008-08-16 00:00:00,489049,8559,10194,3,1,1.83,3.5,4.5
64,1737,1729,1729,2008/2009,2008-08-16 00:00:00,489050,8667,9879,2,1,2.6,3.2,2.8
65,4879,4769,4769,2008/2009,2008-08-16 00:00:00,483139,7819,9873,3,1,2.1,3.0,4.0
66,4881,4769,4769,2008/2009,2008-08-16 00:00:00,483141,8639,8682,1,3,1.8,3.3,4.75
67,4884,4769,4769,2008/2009,2008-08-16 00:00:00,483144,9830,9829,1,1,2.25,3.0,3.3
68,4885,4769,4769,2008/2009,2008-08-16 00:00:00,483145,9831,8481,2,1,2.4,2.9,3.3
69,4886,4769,4769,2008/2009,2008-08-16 00:00:00,483146,9847,9827,1,0,2.38,2.9,3.3
70,4887,4769,4769,2008/2009,2008-08-16 00:00:00,483147,9853,9874,2,1,1.85,3.25,4.5
71,4888,4769,4769,2008/2009,2008-08-16 00:00:00,483148,9941,9746,2,1,2.15,3.1,3.6
72,7810,7809,7809,2008/2009,2008-08-16 00:00:00,499318,8178,9789,2,3,2.05,3.3,3.6
73,7811,7809,7809,2008/2009,2008-08-16 00:00:00,499319,10189,9904,3,0,1.57,3.8,6.0
74,7812,7809,7809,2008/2009,2008-08-16 00:00:00,499320,8721,8722,2,1,1.62,3.6,6.0
75,7814,7809,7809,2008/2009,2008-08-16 00:00:00,499322,9912,8697,2,2,4.5,3.5,1.8
76,7815,7809,7809,2008/2009,2008-08-16 00:00:00,499323,8398,8226,0,3,2.4,3.3,2.9
77,7817,7809,7809,2008/2009,2008-08-16 00:00:00,499325,8295,9911,1,0,2.2,3.3,3.25
82,19760,19694,19694,2008/2009,2008-08-16 00:00:00,489987,8548,9860,2,0,1.44,4.2,7.5
83,19762,19694,19694,2008/2009,2008-08-16 00:00:00,489989,9927,8485,0,1,2.1,3.3,3.5
84,19763,19694,19694,2008/2009,2008-08-16 00:00:00,489990,10251,8596,3,2,2.1,3.3,3.6
85,19764,19694,19694,2008/2009,2008-08-16 00:00:00,489991,8066,8429,0,1,1.8,3.5,4.5
86,19765,19694,19694,2008/2009,2008-08-16 00:00:00,489992,9800,8597,0,0,2.4,3.3,2.88
88,1,1,1,2008/2009,2008-08-17 00:00:00,492473,9987,9993,1,1,1.73,3.4,5.0
89,4,1,1,2008/2009,2008-08-17 00:00:00,492476,9991,9998,5,0,1.44,3.75,7.5
90,1729,1729,1729,2008/2009,2008-08-17 00:00:00,489042,10260,10261,1,1,1.29,5.5,11.0
91,1733,1729,1729,2008/2009,2008-08-17 00:00:00,489046,10252,8456,4,2,1.91,3.4,4.33
92,1738,1729,1729,2008/2009,2008-08-17 00:00:00,489051,8455,8462,4,0,1.33,5.0,10.0
93,4880,4769,4769,2008/2009,2008-08-17 00:00:00,483140,9855,9851,1,0,2.88,2.9,2.7
94,4882,4769,4769,2008/2009,2008-08-17 00:00:00,483142,8689,9748,0,0,4.75,3.4,1.8
95,4883,4769,4769,2008/2009,2008-08-17 00:00:00,483143,8592,8583,4,0,1.57,3.6,6.5
96,7813,7809,7809,2008/2009,2008-08-17 00:00:00,499321,9810,8177,0,2,2.35,3.3,3.0
97,7816,7809,7809,2008/2009,2008-08-17 00:00:00,499324,9788,10269,1,3,2.75,3.3,2.5
100,19761,19694,19694,2008/2009,2008-08-17 00:00:00,489988,9938,9925,1,1,5.75,4.0,1.57
104,7915,7809,7809,2008/2009,2008-08-22 00:00:00,499333,9904,8398,0,0,1.62,3.6,6.0
107,17644,17642,17642,2008/2009,2008-08-22 00:00:00,509131,7844,10238,1,1,2.1,3.25,3.6
108,101,1,1,2008/2009,2008-08-23 00:00:00,492483,8635,9991,2,2,1.65,3.4,5.0
109,102,1,1,2008/2009,2008-08-23 00:00:00,492484,9985,10001,3,0,1.33,4.2,10.0
110,104,1,1,2008/2009,2008-08-23 00:00:00,492486,9986,9999,1,0,1.5,3.6,6.5
111,105,1,1,2008/2009,2008-08-23 00:00:00,492487,9994,4049,4,1,1.65,3.6,4.75
112,106,1,1,2008/2009,2008-08-23 00:00:00,492488,9996,8203,3,1,2.05,3.3,3.4
113,107,1,1,2008/2009,2008-08-23 00:00:00,492489,8571,9984,2,1,3.0,3.25,2.2
114,108,1,1,2008/2009,2008-08-23 00:00:00,492490,9993,7947,1,1,1.53,3.75,5.5
115,1839,1729,1729,2008/2009,2008-08-23 00:00:00,489052,8650,8549,2,1,1.36,4.5,10.0
116,1840,1729,1729,2008/2009,2008-08-23 00:00:00,489053,8586,8472,1,2,1.5,4.0,7.0
117,1841,1729,1729,2008/2009,2008-08-23 00:00:00,489054,10261,8559,1,0,1.8,3.5,4.75
118,1843,1729,1729,2008/2009,2008-08-23 00:00:00,489056,8655,8667,1,1,1.57,3.75,7.0
119,1844,1729,1729,2008/2009,2008-08-23 00:00:00,489057,9879,9825,1,0,6.5,3.75,1.57
120,1845,1729,1729,2008/2009,2008-08-23 00:00:00,489058,8659,8668,1,2,2.88,3.25,2.5
121,1847,1729,1729,2008/2009,2008-08-23 00:00:00,489060,10194,10252,3,2,5.0,3.6,1.73
122,4991,4769,4769,2008/2009,2008-08-23 00:00:00,483151,9746,8592,0,1,3.75,3.0,2.15
123,4992,4769,4769,2008/2009,2008-08-23 00:00:00,483152,8682,9853,1,0,2.45,3.0,3.1
124,4993,4769,4769,2008/2009,2008-08-23 00:00:00,483153,9748,9855,2,0,1.29,4.75,13.0
125,4994,4769,4769,2008/2009,2008-08-23 00:00:00,483154,9829,7819,1,1,1.75,3.25,5.25
