,id,country_id,league_id,season,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,home_team_shots,home_team_shots_on_target,home_team_shots_off_target,home_team_shot_accuracy,away_team_shots,away_team_shots_on_target,away_team_shots_off_target,away_team_shot_accuracy
1728,1729,1729,1729,2008/2009,2008-08-17 00:00:00,489042,10260,10261,1,1,1.29,5.5,11.0,21,11,10,0.5238095238095238,10,1,9,0.1
1729,1730,1729,1729,2008/2009,2008-08-16 00:00:00,489043,9825,8659,1,0,1.2,6.5,15.0,25,12,13,0.48,5,2,3,0.4
1730,1731,1729,1729,2008/2009,2008-08-16 00:00:00,489044,8472,8650,0,1,5.5,3.6,1.67,7,4,3,0.5714285714285714,16,11,5,0.6875
1731,1732,1729,1729,2008/2009,2008-08-16 00:00:00,489045,8654,8528,2,1,1.91,3.4,4.2,12,5,7,0.4166666666666667,22,7,15,0.3181818181818182
1732,1733,1729,1729,2008/2009,2008-08-17 00:00:00,489046,10252,8456,4,2,1.91,3.4,4.33,9,5,4,0.5555555555555556,14,9,5,0.6428571428571429
1733,1734,1729,1729,2008/2009,2008-08-16 00:00:00,489047,8668,8655,2,3,2.0,3.3,4.0,9,2,7,0.2222222222222222,16,8,8,0.5
1734,1735,1729,1729,2008/2009,2008-08-16 00:00:00,489048,8549,8586,2,1,3.2,3.4,2.25,12,7,5,0.5833333333333334,7,2,5,0.2857142857142857
1735,1736,1729,1729,2008/2009,2008-08-16 00:00:00,489049,8559,10194,3,1,1.83,3.5,4.5,12,5,7,0.4166666666666667,7,1,6,0.14285714285714285
1736,1737,1729,1729,2008/2009,2008-08-16 00:00:00,489050,8667,9879,2,1,2.6,3.2,2.8,10,5,5,0.5,10,4,6,0.4
1737,1738,1729,1729,2008/2009,2008-08-17 00:00:00,489051,8455,8462,4,0,1.33,5.0,10.0,16,6,10,0.375,12,7,5,0.5833333333333334
1738,1739,1729,1729,2008/2009,2008-10-29 00:00:00,489132,10260,8654,2,0,1.2,6.0,19.0,19,11,8,0.5789473684210527,6,3,3,0.5
1739,1740,1729,1729,2008/2009,2008-10-29 00:00:00,489133,9825,8586,4,4,1.44,4.5,7.5,20,9,11,0.45,8,3,5,0.375
1740,1741,1729,1729,2008/2009,2008-10-29 00:00:00,489134,8549,8456,2,0,2.88,3.3,2.5,7,5,2,0.7142857142857143,16,11,5,0.6875
1741,1742,1729,1729,2008/2009,2008-10-29 00:00:00,489135,8559,8668,0,1,2.6,3.3,2.75,19,13,6,0.6842105263157895,10,6,4,0.6
1742,1743,1729,1729,2008/2009,2008-10-29 00:00:00,489136,8667,8455,0,3,8.0,4.33,1.44,11,4,7,0.36363636363636365,21,3,18,0.14285714285714285
1743,1744,1729,1729,2008/2009,2008-10-29 00:00:00,489137,10194,8472,1,0,2.6,3.3,2.75,10,4,6,0.4,10,4,6,0.4
1744,1745,1729,1729,2008/2009,2008-10-29 00:00:00,489138,8650,8462,1,0,1.33,5.0,10.0,20,9,11,0.45,4,1,3,0.25
1745,1746,1729,1729,2008/2009,2008-10-29 00:00:00,489139,10252,8655,3,2,1.67,3.75,5.5,7,2,5,0.2857142857142857,13,7,6,0.5384615384615384
1746,1747,1729,1729,2008/2009,2008-10-28 00:00:00,489140,10261,8659,2,1,1.83,3.5,4.5,10,4,6,0.4,14,5,9,0.35714285714285715
1747,1748,1729,1729,2008/2009,2008-10-29 00:00:00,489141,9879,8528,2,0,2.38,3.3,3.0,9,1,8,0.1111111111111111,8,4,4,0.5
1748,1749,1729,1729,2008/2009,2008-11-01 00:00:00,489142,10260,8667,4,3,1.17,7.0,17.0,16,7,9,0.4375,7,3,4,0.42857142857142855
1749,1750,1729,1729,2008/2009,2008-11-01 00:00:00,489143,8586,8650,2,1,3.5,3.3,2.1,9,5,4,0.5555555555555556,16,5,11,0.3125
1750,1751,1729,1729,2008/2009,2008-11-01 00:00:00,489144,8668,9879,1,0,1.67,3.75,5.5,10,5,5,0.5,16,7,9,0.4375
1751,1752,1729,1729,2008/2009,2008-11-01 00:00:00,489145,8549,8654,1,1,2.0,3.3,4.0,13,8,5,0.6153846153846154,14,8,6,0.5714285714285714
1752,1753,1729,1729,2008/2009,2008-11-03 00:00:00,489146,10261,10252,2,0,3.0,3.3,2.38,10,5,5,0.5,7,1,6,0.14285714285714285
