,id,country_id,league_id,season,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,B365H,B365D,B365A,home_team_shots,home_team_shots_on_target,home_team_shots_off_target,home_team_shot_accuracy,home_team_possession,away_team_shots,away_team_shots_on_target,away_team_shots_off_target,away_team_shot_accuracy,away_team_possession
58,1730,1729,1729,2008/2009,2008-08-16 00:00:00,489043,9825,8659,1,0,1.2,6.5,15.0,25,12,13,0.48,57.824999999999996,5,2,3,0.4,32.175
59,1731,1729,1729,2008/2009,2008-08-16 00:00:00,489044,8472,8650,0,1,5.5,3.6,1.67,7,4,3,0.5714285714285714,40.95,16,11,5,0.6875,49.050000000000004
60,1732,1729,1729,2008/2009,2008-08-16 00:00:00,489045,8654,8528,2,1,1.91,3.4,4.2,12,5,7,0.4166666666666667,44.775,22,7,15,0.3181818181818182,45.224999999999994
61,1734,1729,1729,2008/2009,2008-08-16 00:00:00,489047,8668,8655,2,3,2.0,3.3,4.0,9,2,7,0.2222222222222222,46.574999999999996,16,8,8,0.5,43.425
62,1735,1729,1729,2008/2009,2008-08-16 00:00:00,489048,8549,8586,2,1,3.2,3.4,2.25,12,7,5,0.5833333333333334,45.9,7,2,5,0.2857142857142857,44.1
63,1736,1729,1729,2008/2009,2008-08-16 00:00:00,489049,8559,10194,3,1,1.83,3.5,4.5,12,5,7,0.4166666666666667,45.675,7,1,6,0.14285714285714285,44.325
64,1737,1729,1729,2008/2009,2008-08-16 00:00:00,489050,8667,9879,2,1,2.6,3.2,2.8,10,5,5,0.5,45.599999999999994,10,4,6,0.4,44.4
90,1729,1729,1729,2008/2009,2008-08-17 00:00:00,489042,10260,10261,1,1,1.29,5.5,11.0,21,11,10,0.5238095238095238,49.275,10,1,9,0.1,40.725
91,1733,1729,1729,2008/2009,2008-08-17 00:00:00,489046,10252,8456,4,2,1.91,3.4,4.33,9,5,4,0.5555555555555556,46.35,14,9,5,0.6428571428571429,43.65
92,1738,1729,1729,2008/2009,2008-08-17 00:00:00,489051,8455,8462,4,0,1.33,5.0,10.0,16,6,10,0.375,55.8,12,7,5,0.5833333333333334,34.2
104,7915,7809,7809,2008/2009,2008-08-22 00:00:00,499333,9904,8398,0,0,1.62,3.6,6.0,12,7,5,0.5833333333333334,61.875,7,5,2,0.7142857142857143,28.125
115,1839,1729,1729,2008/2009,2008-08-23 00:00:00,489052,8650,8549,2,1,1.36,4.5,10.0,19,6,13,0.3157894736842105,50.849999999999994,9,4,5,0.4444444444444444,39.15
116,1840,1729,1729,2008/2009,2008-08-23 00:00:00,489053,8586,8472,1,2,1.5,4.0,7.0,14,6,8,0.42857142857142855,48.6,8,4,4,0.5,41.4
117,1841,1729,1729,2008/2009,2008-08-23 00:00:00,489054,10261,8559,1,0,1.8,3.5,4.75,9,6,3,0.6666666666666666,49.050000000000004,11,3,8,0.2727272727272727,40.95
118,1843,1729,1729,2008/2009,2008-08-23 00:00:00,489056,8655,8667,1,1,1.57,3.75,7.0,10,4,6,0.4,53.55,5,3,2,0.6,36.45
119,1844,1729,1729,2008/2009,2008-08-23 00:00:00,489057,9879,9825,1,0,6.5,3.75,1.57,5,2,3,0.4,39.6,19,8,11,0.42105263157894735,50.400000000000006
120,1845,1729,1729,2008/2009,2008-08-23 00:00:00,489058,8659,8668,1,2,2.88,3.25,2.5,18,7,11,0.3888888888888889,44.55,8,4,4,0.5,45.45
130,7909,7809,7809,2008/2009,2008-08-23 00:00:00,499327,9789,9823,1,1,3.4,3.25,2.15,15,9,6,0.6,37.125,11,3,8,0.2727272727272727,52.875
151,1848,1729,1729,2008/2009,2008-08-24 00:00:00,489061,8528,8455,0,1,8.5,4.5,1.4,11,9,2,0.8181818181818182,45.675,7,4,3,0.5714285714285714,44.325
156,7914,7809,7809,2008/2009,2008-08-24 00:00:00,499332,9911,8721,2,2,2.88,3.3,2.4,8,2,6,0.25,46.44,12,7,5,0.5833333333333334,43.56
167,1846,1729,1729,2008/2009,2008-08-25 00:00:00,489059,8462,10260,0,1,4.8,3.4,1.8,12,4,8,0.3333333333333333,35.325,12,7,5,0.5833333333333334,54.675000000000004
180,1950,1729,1729,2008/2009,2008-08-30 00:00:00,489063,9825,10261,3,0,1.44,4.0,9.0,19,12,7,0.631578947368421,53.55,4,1,3,0.25,36.45
181,1952,1729,1729,2008/2009,2008-08-30 00:00:00,489065,8654,8655,4,1,2.5,3.25,2.88,7,4,3,0.5714285714285714,54.675000000000004,12,7,5,0.5833333333333334,35.325
182,1954,1729,1729,2008/2009,2008-08-30 00:00:00,489067,8668,8462,0,3,2.1,3.3,3.75,17,7,10,0.4117647058823529,51.9,4,2,2,0.5,38.1
183,1955,1729,1729,2008/2009,2008-08-30 00:00:00,489068,8549,10194,2,1,1.57,3.6,7.0,14,4,10,0.2857142857142857,42.3,6,1,5,0.16666666666666666,47.7
184,1956,1729,1729,2008/2009,2008-08-30 00:00:00,489069,8559,8659,0,0,1.83,3.5,4.5,19,10,9,0.5263157894736842,42.3,14,7,7,0.5,47.7
