,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,away-wins,away-draws,away-losses,away-goals,away-opposition-goals
0,H,1.36,4.5,9.0,5,3,2,14,10,2,2,6,8,14
1,D,2.25,3.0,3.5,3,4,3,16,12,4,3,3,14,12
2,D,2.8,3.0,2.7,5,2,3,10,8,4,4,2,15,13
3,A,1.91,3.25,4.33,5,3,2,18,11,3,3,4,10,11
4,H,2.1,3.0,4.0,2,4,4,6,9,1,6,3,7,10
5,D,3.6,3.0,2.2,3,1,6,7,16,5,4,1,20,13
6,A,1.75,3.25,5.5,5,2,3,12,9,5,3,2,9,8
7,A,1.73,3.25,5.5,3,1,6,6,10,2,3,5,10,14
8,A,5.25,3.3,1.75,0,6,4,10,14,6,3,1,14,8
9,D,2.75,3.0,2.75,2,1,7,8,16,3,6,1,13,9
10,H,1.8,3.4,4.2,7,0,3,24,11,4,4,2,23,16
11,H,3.5,3.3,2.1,1,3,6,11,16,8,2,0,15,6
12,D,2.0,3.3,4.0,4,1,5,10,15,4,0,6,14,18
13,D,2.5,3.3,2.88,3,1,6,8,16,3,3,4,11,18
14,A,1.91,3.4,4.2,4,2,4,10,15,2,2,6,11,15
15,H,8.0,4.5,1.4,3,1,6,11,18,6,2,2,22,10
16,H,1.17,6.5,21.0,7,2,1,22,4,3,3,4,9,11
17,D,1.83,3.1,5.0,3,3,4,10,10,1,2,7,7,16
18,H,1.73,3.25,4.75,4,4,2,15,13,3,2,5,7,15
19,D,2.2,2.9,3.75,2,3,5,13,15,4,3,3,8,7
20,H,1.57,3.6,6.5,5,4,1,17,10,3,1,6,7,13
21,H,3.1,2.88,2.6,1,5,4,8,13,5,3,2,16,9
22,H,2.6,2.88,3.0,4,4,2,15,12,5,2,3,12,9
23,A,2.0,3.0,4.33,6,3,1,10,5,3,5,2,16,11
24,H,1.17,7.0,15.0,5,3,2,22,16,1,5,4,11,17
25,A,1.53,3.8,6.5,5,1,4,15,12,4,1,5,8,12
26,H,1.75,3.5,4.75,3,4,3,23,22,5,3,2,14,10
27,A,4.5,3.5,1.8,1,3,6,6,15,4,5,1,15,8
28,H,3.25,3.4,2.15,2,3,5,10,20,6,2,2,17,15
29,H,1.5,4.0,6.5,7,1,2,27,15,3,0,7,8,16
30,H,1.73,3.75,4.5,4,1,5,14,16,3,0,7,10,19
31,H,2.2,3.4,3.2,3,2,5,9,12,5,1,4,11,11
32,D,2.6,3.3,2.62,3,2,5,8,11,4,2,4,12,15
33,H,3.0,3.3,2.38,2,2,6,8,13,4,1,5,23,16
34,A,2.6,2.88,3.0,1,2,7,7,18,2,4,4,8,10
35,H,1.5,3.75,7.5,6,3,1,13,8,5,3,2,18,12
36,H,1.65,3.4,6.0,3,6,1,9,5,0,6,4,9,14
37,D,1.55,3.8,6.25,4,5,1,18,15,1,4,5,13,18
38,A,2.1,3.3,3.5,2,1,7,9,20,2,3,5,11,16
39,A,5.5,3.5,1.67,4,2,4,12,15,8,1,1,27,13
40,H,3.0,3.3,2.38,2,3,5,12,18,6,2,2,19,12
41,D,1.29,5.0,11.0,8,1,1,23,7,4,3,3,12,10
42,H,1.75,3.75,4.33,4,1,5,14,16,4,1,5,13,12
43,H,2.3,3.3,3.1,5,1,4,10,11,3,3,4,13,17
44,A,1.36,4.75,8.5,7,1,2,26,12,3,6,1,11,6
45,D,1.4,4.33,8.0,5,3,2,21,11,2,3,5,14,20
46,A,1.83,3.5,4.2,1,2,7,5,17,1,1,8,7,21
47,D,2.0,3.5,3.6,3,3,4,10,18,2,2,6,12,22
48,H,2.7,3.25,2.6,5,3,2,15,12,6,2,2,17,11
49,H,3.25,3.25,2.3,5,2,3,22,12,6,3,1,19,8
50,H,1.2,6.0,19.0,7,2,1,15,8,3,2,5,10,17
51,A,2.38,3.3,3.0,3,3,4,9,15,4,2,4,11,13
52,A,2.6,3.25,2.8,3,1,6,13,18,4,3,3,13,16
53,A,2.25,3.25,3.4,5,2,3,15,17,2,2,6,7,12
54,D,1.8,3.4,5.0,3,2,5,12,14,4,1,5,12,16
55,H,1.55,3.6,7.0,5,3,2,16,9,3,4,3,10,6
56,A,1.7,3.4,5.5,3,5,2,14,10,1,2,7,8,19
57,A,3.6,3.2,2.1,3,4,3,8,8,5,4,1,16,11
58,A,2.25,3.0,3.5,2,3,5,14,16,4,4,2,14,11
59,A,4.2,3.3,1.91,3,3,4,10,11,7,2,1,15,8
60,D,2.4,3.0,3.1,3,1,6,6,16,5,3,2,8,5
61,H,2.38,3.0,3.2,0,6,4,8,13,4,3,3,15,13
62,H,1.8,3.5,4.5,6,1,3,15,16,3,6,1,16,14
63,H,1.25,5.5,12.0,3,4,3,21,17,1,3,6,6,14
64,A,2.1,3.3,3.5,1,4,5,10,18,2,1,7,9,19
65,D,4.33,3.6,1.8,1,5,4,14,18,4,3,3,26,21
66,D,5.0,3.5,1.73,2,0,8,8,20,8,0,2,24,8
67,H,2.38,3.0,3.25,2,2,6,9,14,5,1,4,15,14
68,H,1.29,5.25,11.0,8,1,1,28,13,5,1,4,14,13
69,H,2.05,3.3,3.6,4,4,2,14,10,4,2,4,10,10
70,A,1.67,3.6,5.5,4,3,3,12,14,2,1,7,10,18
71,A,2.75,3.25,2.6,3,3,4,8,10,3,2,5,9,15
72,D,2.8,3.25,2.5,2,0,8,7,20,3,2,5,14,16
73,D,3.2,3.3,2.25,4,2,4,11,13,7,2,1,19,8
74,A,1.7,3.8,5.0,5,2,3,15,12,3,2,5,9,15
75,A,2.25,3.3,3.3,4,1,5,21,14,2,3,5,12,15
76,A,8.0,4.33,1.44,2,4,4,10,18,7,2,1,23,4
77,H,2.38,3.25,3.1,3,2,5,8,9,3,2,5,13,17
78,H,2.2,3.0,3.6,4,2,4,11,10,5,4,1,16,10
79,A,2.38,3.0,3.2,2,1,7,6,15,4,6,0,10,4
80,A,2.38,3.0,3.2,1,3,6,6,13,2,5,3,8,11
81,H,2.7,3.4,2.5,4,3,3,13,15,7,1,2,28,16
82,A,2.8,3.3,2.5,4,5,1,14,8,6,2,2,23,15
83,D,3.1,3.3,2.3,3,3,4,13,15,4,1,5,13,14
84,D,7.0,3.6,1.57,2,5,3,9,11,7,1,2,15,7
85,H,1.57,3.6,7.0,6,1,3,18,12,3,3,4,8,8
86,H,1.53,3.6,7.5,6,3,1,16,7,6,3,1,19,8
87,H,1.53,3.75,7.0,5,2,3,14,10,1,2,7,8,19
88,H,1.53,3.6,7.5,5,2,3,12,8,4,2,4,9,9
89,A,6.5,3.6,1.57,1,3,6,6,16,5,3,2,11,7
90,H,2.1,3.0,4.0,4,3,3,9,8,3,1,6,10,13
91,A,7.5,4.2,1.44,4,1,5,10,12,7,2,1,25,10
92,H,1.73,3.5,5.0,3,2,5,10,12,3,2,5,8,11
93,H,1.2,6.0,15.0,9,0,1,29,12,4,0,6,10,16
94,H,1.91,3.4,4.0,5,3,2,15,10,3,3,4,10,14
95,D,6.5,4.0,1.53,5,1,4,14,14,7,2,1,27,10
96,H,1.57,4.0,6.5,4,2,4,10,13,1,1,8,7,21
97,D,2.38,3.2,3.0,3,1,6,12,18,3,3,4,13,14
98,H,1.57,3.5,7.0,6,2,2,12,6,6,2,2,18,9
99,H,2.5,3.3,2.75,5,3,2,15,12,4,4,2,17,12
100,D,1.91,3.3,4.0,3,2,5,14,19,1,5,4,12,16
101,H,1.4,4.5,8.0,7,1,2,19,10,3,4,3,13,13
102,D,1.25,5.25,10.0,6,1,3,16,11,1,1,8,4,17
103,D,2.0,3.25,3.5,4,0,6,13,14,1,4,5,10,14
104,H,2.3,3.25,2.8,2,4,4,14,18,3,3,4,8,16
105,D,2.05,3.25,3.4,2,3,5,11,19,2,3,5,9,14
106,H,2.2,3.25,3.0,4,3,3,15,11,4,3,3,13,14
107,H,4.33,3.4,1.75,2,1,7,8,20,5,1,4,16,13
108,H,1.14,7.5,23.0,6,2,2,19,9,3,2,5,9,14
109,A,1.5,4.0,7.0,6,2,2,24,12,5,2,3,14,11
110,D,2.5,3.25,2.88,3,1,6,14,18,5,2,3,13,13
111,D,2.1,3.3,3.6,2,2,6,13,19,3,3,4,12,13
112,A,2.0,3.4,3.8,2,3,5,9,19,2,3,5,8,16
113,H,3.3,3.3,2.25,4,2,4,9,8,3,3,4,13,14
114,A,6.0,3.75,1.62,3,2,5,8,11,7,2,1,16,7
115,A,12.0,5.0,1.3,3,2,5,9,18,7,2,1,24,4
116,H,1.95,3.0,4.5,3,4,3,10,7,1,5,4,9,13
117,A,3.3,3.0,2.3,2,2,6,9,18,5,1,4,11,9
118,H,1.6,3.4,6.5,3,3,4,15,15,0,3,7,3,13
119,H,1.73,3.2,5.75,5,4,1,15,9,2,1,7,6,17
120,A,1.4,4.33,8.5,5,4,1,18,11,2,3,5,13,14
121,D,2.0,3.1,4.2,3,4,3,9,11,3,4,3,13,10
122,H,2.0,3.1,4.2,5,3,2,9,6,3,4,3,8,9
123,H,2.25,3.25,3.2,7,1,2,25,11,4,4,2,14,9
124,H,1.65,3.75,5.5,3,5,2,16,15,3,3,4,14,16
125,D,1.36,4.5,9.0,4,2,4,15,14,1,3,6,9,19
126,H,2.5,3.3,2.75,5,2,3,13,14,6,1,3,15,16
127,H,2.3,3.3,3.1,1,2,7,6,17,2,1,7,10,21
128,D,6.5,4.0,1.5,3,1,6,11,18,7,1,2,24,15
129,H,2.05,3.4,3.5,6,1,3,27,17,4,3,3,22,15
130,A,4.33,3.2,1.91,5,1,4,14,12,7,2,1,16,6
131,A,2.3,3.25,2.9,3,1,6,12,16,4,3,3,15,16
132,H,1.5,3.75,5.5,4,4,2,22,20,4,2,4,11,13
133,H,1.62,3.6,4.75,2,2,6,10,26,1,1,8,10,28
134,H,2.62,3.2,2.5,1,3,6,9,21,5,3,2,15,9
135,H,1.17,7.0,15.0,7,2,1,26,9,3,2,5,7,11
