,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target,home_shot_accuracy,home_shot_efficiency,home_opposition_shot_accuracy,home_opposition_shot_efficiency,away_shot_accuracy,away_shot_efficiency,away_opposition_shot_accuracy,away_opposition_shot_efficiency
0,H,3.5,3.3,2.1,1,3,6,11,16,137,67,117,53,8,2,0,15,6,161,78,72,30,0.48905109489051096,0.16417910447761194,0.452991452991453,0.3018867924528302,0.484472049689441,0.19230769230769232,0.4166666666666667,0.2
1,D,2.5,3.3,2.88,3,1,6,8,16,134,64,151,77,3,3,4,11,18,104,44,87,36,0.47761194029850745,0.125,0.5099337748344371,0.2077922077922078,0.4230769230769231,0.25,0.41379310344827586,0.5
2,A,1.91,3.4,4.2,4,2,4,10,15,120,58,124,56,2,2,6,11,15,134,59,100,46,0.48333333333333334,0.1724137931034483,0.45161290322580644,0.26785714285714285,0.44029850746268656,0.1864406779661017,0.46,0.32608695652173914
3,H,3.25,3.25,2.3,5,2,3,22,12,177,82,74,37,6,3,1,19,8,169,95,113,58,0.4632768361581921,0.2682926829268293,0.5,0.32432432432432434,0.5621301775147929,0.2,0.5132743362831859,0.13793103448275862
4,H,1.2,6.0,19.0,7,2,1,15,8,161,72,74,31,3,2,5,10,17,143,69,134,69,0.4472049689440994,0.20833333333333334,0.4189189189189189,0.25806451612903225,0.4825174825174825,0.14492753623188406,0.5149253731343284,0.2463768115942029
5,A,2.38,3.3,3.0,3,3,4,9,11,102,47,133,77,4,2,4,11,13,126,59,122,59,0.46078431372549017,0.19148936170212766,0.5789473684210527,0.14285714285714285,0.46825396825396826,0.1864406779661017,0.48360655737704916,0.22033898305084745
6,A,2.6,3.25,2.8,4,1,5,15,16,125,63,153,73,4,3,3,13,16,103,51,138,76,0.504,0.23809523809523808,0.477124183006536,0.2191780821917808,0.49514563106796117,0.2549019607843137,0.5507246376811594,0.21052631578947367
7,A,2.25,3.25,3.4,5,2,3,15,17,89,37,173,73,2,2,6,7,12,128,64,148,74,0.4157303370786517,0.40540540540540543,0.42196531791907516,0.2328767123287671,0.5,0.109375,0.5,0.16216216216216217
8,D,1.8,3.4,5.0,3,2,5,12,14,126,61,106,49,3,1,6,10,17,75,34,144,70,0.48412698412698413,0.19672131147540983,0.46226415094339623,0.2857142857142857,0.4533333333333333,0.29411764705882354,0.4861111111111111,0.24285714285714285
9,A,1.7,3.8,5.0,6,2,2,17,11,95,42,143,73,3,2,5,9,15,105,51,160,79,0.4421052631578947,0.40476190476190477,0.5104895104895105,0.1506849315068493,0.4857142857142857,0.17647058823529413,0.49375,0.189873417721519
10,A,2.25,3.3,3.3,3,1,6,20,18,125,69,102,47,2,3,5,12,15,139,70,121,51,0.552,0.2898550724637681,0.46078431372549017,0.3829787234042553,0.5035971223021583,0.17142857142857143,0.4214876033057851,0.29411764705882354
11,A,8.0,4.33,1.44,2,4,4,10,18,96,40,92,41,7,2,1,22,4,177,81,100,46,0.4166666666666667,0.25,0.44565217391304346,0.43902439024390244,0.4576271186440678,0.2716049382716049,0.46,0.08695652173913043
12,H,2.38,3.25,3.1,3,2,5,8,9,125,57,129,62,3,2,5,13,17,90,46,126,50,0.456,0.14035087719298245,0.4806201550387597,0.14516129032258066,0.5111111111111111,0.2826086956521739,0.3968253968253968,0.34
13,A,1.5,4.0,7.0,6,2,2,24,12,170,80,88,44,5,2,3,14,11,101,47,141,69,0.47058823529411764,0.3,0.5,0.2727272727272727,0.46534653465346537,0.2978723404255319,0.48936170212765956,0.15942028985507245
14,D,2.5,3.25,2.88,3,1,6,14,18,129,69,142,69,5,2,3,13,13,121,58,118,56,0.5348837209302325,0.2028985507246377,0.4859154929577465,0.2608695652173913,0.4793388429752066,0.22413793103448276,0.4745762711864407,0.23214285714285715
15,D,2.1,3.3,3.6,2,2,6,13,19,94,46,125,52,3,3,4,12,13,132,61,101,46,0.48936170212765956,0.2826086956521739,0.416,0.36538461538461536,0.4621212121212121,0.19672131147540983,0.45544554455445546,0.2826086956521739
16,A,2.0,3.4,3.8,2,3,5,9,19,93,39,103,47,3,3,4,10,12,103,47,124,69,0.41935483870967744,0.23076923076923078,0.4563106796116505,0.40425531914893614,0.4563106796116505,0.2127659574468085,0.5564516129032258,0.17391304347826086
17,H,3.3,3.3,2.25,4,2,4,9,8,125,58,132,63,3,3,4,13,14,137,69,121,53,0.464,0.15517241379310345,0.4772727272727273,0.12698412698412698,0.5036496350364964,0.18840579710144928,0.4380165289256198,0.2641509433962264
18,A,6.0,3.75,1.62,3,2,5,8,11,127,68,154,76,7,2,1,16,7,152,74,69,29,0.5354330708661418,0.11764705882352941,0.4935064935064935,0.14473684210526316,0.4868421052631579,0.21621621621621623,0.42028985507246375,0.2413793103448276
19,A,12.0,5.0,1.3,3,2,5,9,18,129,64,136,73,7,2,1,20,4,177,84,95,42,0.49612403100775193,0.140625,0.5367647058823529,0.2465753424657534,0.4745762711864407,0.23809523809523808,0.4421052631578947,0.09523809523809523
20,D,1.83,3.5,4.5,4,3,3,14,16,106,50,136,80,4,2,4,10,14,108,52,156,83,0.4716981132075472,0.28,0.5882352941176471,0.2,0.48148148148148145,0.19230769230769232,0.532051282051282,0.1686746987951807
21,D,2.88,3.25,2.5,5,1,4,14,17,99,42,173,76,3,1,6,19,16,119,66,105,47,0.42424242424242425,0.3333333333333333,0.4393063583815029,0.2236842105263158,0.5546218487394958,0.2878787878787879,0.44761904761904764,0.3404255319148936
22,D,1.25,5.5,15.0,8,1,1,18,7,155,76,78,37,4,2,4,10,9,136,69,122,60,0.49032258064516127,0.23684210526315788,0.47435897435897434,0.1891891891891892,0.5073529411764706,0.14492753623188406,0.4918032786885246,0.15
23,D,5.0,3.6,1.73,6,1,3,16,11,101,49,142,72,6,2,2,19,9,167,93,115,63,0.48514851485148514,0.32653061224489793,0.5070422535211268,0.1527777777777778,0.5568862275449101,0.20430107526881722,0.5478260869565217,0.14285714285714285
24,A,1.91,3.4,4.33,3,3,4,9,14,103,50,165,89,3,1,6,8,13,124,68,155,76,0.4854368932038835,0.18,0.5393939393939394,0.15730337078651685,0.5483870967741935,0.11764705882352941,0.49032258064516127,0.17105263157894737
25,H,3.25,3.4,2.2,2,2,6,18,18,120,63,101,46,5,2,3,21,14,164,76,91,47,0.525,0.2857142857142857,0.45544554455445546,0.391304347826087,0.4634146341463415,0.27631578947368424,0.5164835164835165,0.2978723404255319
26,D,1.8,3.6,4.5,4,3,3,10,13,130,62,117,59,5,2,3,16,14,95,41,176,78,0.47692307692307695,0.16129032258064516,0.5042735042735043,0.22033898305084745,0.43157894736842106,0.3902439024390244,0.4431818181818182,0.1794871794871795
27,H,2.2,3.3,3.4,3,2,5,9,14,70,34,149,74,3,1,6,9,21,128,60,131,70,0.4857142857142857,0.2647058823529412,0.4966442953020134,0.1891891891891892,0.46875,0.15,0.5343511450381679,0.3
28,A,2.1,3.4,3.5,3,3,4,10,12,103,48,127,71,2,2,6,10,17,138,75,143,68,0.46601941747572817,0.20833333333333334,0.5590551181102362,0.16901408450704225,0.5434782608695652,0.13333333333333333,0.4755244755244755,0.25
29,H,1.73,3.75,4.75,3,2,5,13,15,141,73,122,61,2,3,5,9,17,98,40,104,48,0.5177304964539007,0.1780821917808219,0.5,0.2459016393442623,0.40816326530612246,0.225,0.46153846153846156,0.3541666666666667
30,H,2.5,3.3,2.88,2,4,4,9,15,140,64,106,48,4,4,2,15,14,104,50,141,80,0.45714285714285713,0.140625,0.4528301886792453,0.3125,0.4807692307692308,0.3,0.5673758865248227,0.175
31,A,2.25,3.3,3.3,3,3,4,10,10,107,48,131,71,4,1,5,10,12,123,65,159,75,0.4485981308411215,0.20833333333333334,0.5419847328244275,0.14084507042253522,0.5284552845528455,0.15384615384615385,0.4716981132075472,0.16
32,D,1.57,3.8,6.5,5,2,3,14,10,96,47,131,63,3,3,4,8,8,123,63,133,63,0.4895833333333333,0.2978723404255319,0.48091603053435117,0.15873015873015872,0.5121951219512195,0.12698412698412698,0.47368421052631576,0.12698412698412698
33,D,2.2,3.3,3.4,3,3,4,9,15,118,59,151,79,2,3,5,15,18,106,51,119,44,0.5,0.15254237288135594,0.5231788079470199,0.189873417721519,0.4811320754716981,0.29411764705882354,0.3697478991596639,0.4090909090909091
34,D,2.4,3.4,2.88,4,2,4,9,12,75,42,144,73,4,3,3,16,15,102,45,174,79,0.56,0.21428571428571427,0.5069444444444444,0.1643835616438356,0.4411764705882353,0.35555555555555557,0.4540229885057471,0.189873417721519
