,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-possession,home-opposition_shots,home-opposition_shots_on_target,home-opposition_possession,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-possession,away-opposition_shots,away-opposition_shots_on_target,away-opposition_possession,home_shot_accuracy,home_shot_efficiency,home_opposition_shot_accuracy,home_opposition_shot_efficiency,away_shot_accuracy,away_shot_efficiency,away_opposition_shot_accuracy,away_opposition_shot_efficiency
0,H,3.5,3.3,2.1,1,3,6,11,16,137,67,481,117,53,429,8,2,0,15,6,161,78,482,72,30,428,0.48905109489051096,0.16417910447761194,0.452991452991453,0.3018867924528302,0.484472049689441,0.19230769230769232,0.4166666666666667,0.2
1,H,3.25,3.25,2.3,5,2,3,19,12,189,89,540,69,36,369,6,3,1,19,8,169,95,548,113,58,362,0.4708994708994709,0.21348314606741572,0.5217391304347826,0.3333333333333333,0.5621301775147929,0.2,0.5132743362831859,0.13793103448275862
2,H,1.2,6.0,19.0,7,2,1,15,8,161,72,477,74,31,433,2,2,6,9,18,132,62,424,139,71,486,0.4472049689440994,0.20833333333333334,0.4189189189189189,0.25806451612903225,0.4696969696969697,0.14516129032258066,0.5107913669064749,0.2535211267605634
3,A,2.38,3.3,3.0,3,3,4,9,11,102,47,439,133,77,471,3,2,5,9,16,116,54,410,131,64,500,0.46078431372549017,0.19148936170212766,0.5789473684210527,0.14285714285714285,0.46551724137931033,0.16666666666666666,0.48854961832061067,0.25
4,A,2.6,3.25,2.8,4,1,5,15,16,125,63,435,153,73,475,4,3,3,13,16,103,51,437,138,76,473,0.504,0.23809523809523808,0.477124183006536,0.2191780821917808,0.49514563106796117,0.2549019607843137,0.5507246376811594,0.21052631578947367
5,A,2.25,3.25,3.4,6,2,2,17,15,88,38,416,162,74,494,2,2,6,7,12,128,64,413,148,74,496,0.4318181818181818,0.4473684210526316,0.4567901234567901,0.20270270270270271,0.5,0.109375,0.5,0.16216216216216217
6,D,1.8,3.4,5.0,3,2,5,12,14,126,61,461,106,49,449,3,1,6,10,17,75,34,428,144,70,482,0.48412698412698413,0.19672131147540983,0.46226415094339623,0.2857142857142857,0.4533333333333333,0.29411764705882354,0.4861111111111111,0.24285714285714285
7,A,2.25,3.3,3.3,3,1,6,20,18,125,69,461,102,47,449,2,3,5,12,15,139,70,482,121,51,428,0.552,0.2898550724637681,0.46078431372549017,0.3829787234042553,0.5035971223021583,0.17142857142857143,0.4214876033057851,0.29411764705882354
8,H,2.38,3.25,3.1,3,2,5,8,9,125,57,474,129,62,436,3,2,5,13,17,90,46,429,126,50,481,0.456,0.14035087719298245,0.4806201550387597,0.14516129032258066,0.5111111111111111,0.2826086956521739,0.3968253968253968,0.34
9,A,1.5,4.0,7.0,5,2,3,20,13,176,83,533,83,43,376,5,2,3,14,11,101,47,476,141,69,434,0.4715909090909091,0.24096385542168675,0.5180722891566265,0.3023255813953488,0.46534653465346537,0.2978723404255319,0.48936170212765956,0.15942028985507245
10,D,2.5,3.25,2.88,3,1,6,14,18,129,69,439,142,69,471,4,2,4,11,13,111,50,418,123,62,492,0.5348837209302325,0.2028985507246377,0.4859154929577465,0.2608695652173913,0.45045045045045046,0.22,0.5040650406504065,0.20967741935483872
11,D,2.1,3.3,3.6,2,2,6,13,19,94,46,427,125,52,483,3,3,4,12,13,132,61,463,101,46,447,0.48936170212765956,0.2826086956521739,0.416,0.36538461538461536,0.4621212121212121,0.19672131147540983,0.45544554455445546,0.2826086956521739
12,A,2.0,3.4,3.8,2,4,4,10,16,93,40,429,95,45,481,3,3,4,10,12,103,47,446,124,69,464,0.43010752688172044,0.25,0.47368421052631576,0.35555555555555557,0.4563106796116505,0.2127659574468085,0.5564516129032258,0.17391304347826086
13,H,3.3,3.3,2.25,4,2,4,9,8,125,58,472,132,63,438,3,3,4,13,14,137,69,481,121,53,429,0.464,0.15517241379310345,0.4772727272727273,0.12698412698412698,0.5036496350364964,0.18840579710144928,0.4380165289256198,0.2641509433962264
14,A,6.0,3.75,1.62,3,2,5,8,11,127,68,413,154,76,496,7,2,1,16,7,152,74,476,69,29,434,0.5354330708661418,0.11764705882352941,0.4935064935064935,0.14473684210526316,0.4868421052631579,0.21621621621621623,0.42028985507246375,0.2413793103448276
15,A,12.0,5.0,1.3,2,2,6,9,20,131,62,432,124,67,478,7,2,1,21,4,172,87,499,96,45,411,0.4732824427480916,0.14516129032258066,0.5403225806451613,0.29850746268656714,0.5058139534883721,0.2413793103448276,0.46875,0.08888888888888889
16,D,1.83,3.5,4.5,4,3,3,14,16,106,50,433,136,80,477,5,2,3,12,14,102,52,419,144,70,491,0.4716981132075472,0.28,0.5882352941176471,0.2,0.5098039215686274,0.23076923076923078,0.4861111111111111,0.2
17,D,2.88,3.25,2.5,5,2,3,15,15,93,41,420,162,77,490,3,1,6,19,16,119,66,460,105,47,450,0.44086021505376344,0.36585365853658536,0.47530864197530864,0.19480519480519481,0.5546218487394958,0.2878787878787879,0.44761904761904764,0.3404255319148936
18,D,1.25,5.5,15.0,8,1,1,18,7,155,76,479,78,37,431,4,2,4,10,9,136,69,480,122,60,430,0.49032258064516127,0.23684210526315788,0.47435897435897434,0.1891891891891892,0.5073529411764706,0.14492753623188406,0.4918032786885246,0.15
19,D,5.0,3.6,1.73,6,1,3,16,11,101,49,472,142,72,438,6,2,2,19,9,167,93,538,115,63,372,0.48514851485148514,0.32653061224489793,0.5070422535211268,0.1527777777777778,0.5568862275449101,0.20430107526881722,0.5478260869565217,0.14285714285714285
20,A,1.91,3.4,4.33,4,3,3,11,14,99,47,405,152,75,505,3,1,6,8,13,124,68,412,155,76,497,0.47474747474747475,0.23404255319148937,0.4934210526315789,0.18666666666666668,0.5483870967741935,0.11764705882352941,0.49032258064516127,0.17105263157894737
21,H,3.25,3.4,2.2,2,2,6,18,18,120,63,459,101,46,451,5,2,3,20,14,170,83,532,85,45,377,0.525,0.2857142857142857,0.45544554455445546,0.391304347826087,0.48823529411764705,0.24096385542168675,0.5294117647058824,0.3111111111111111
22,D,1.8,3.6,4.5,4,3,3,11,12,112,52,429,127,65,481,5,2,3,16,16,95,41,431,160,76,479,0.4642857142857143,0.21153846153846154,0.5118110236220472,0.18461538461538463,0.43157894736842106,0.3902439024390244,0.475,0.21052631578947367
23,H,2.2,3.3,3.4,3,2,5,9,14,70,34,426,149,74,484,2,2,6,8,21,126,58,429,130,70,481,0.4857142857142857,0.2647058823529412,0.4966442953020134,0.1891891891891892,0.4603174603174603,0.13793103448275862,0.5384615384615384,0.3
24,A,2.1,3.4,3.5,3,3,4,10,12,103,48,446,127,71,464,2,2,6,10,17,138,75,428,143,68,482,0.46601941747572817,0.20833333333333334,0.5590551181102362,0.16901408450704225,0.5434782608695652,0.13333333333333333,0.4755244755244755,0.25
25,H,1.73,3.75,4.75,3,2,5,13,15,141,73,478,122,61,432,2,3,5,10,17,100,44,424,98,47,486,0.5177304964539007,0.1780821917808219,0.5,0.2459016393442623,0.44,0.22727272727272727,0.47959183673469385,0.3617021276595745
26,H,2.5,3.3,2.88,2,4,4,9,15,140,64,460,106,48,450,4,4,2,15,14,104,50,440,141,80,470,0.45714285714285713,0.140625,0.4528301886792453,0.3125,0.4807692307692308,0.3,0.5673758865248227,0.175
27,A,2.25,3.3,3.3,3,3,4,10,10,107,48,449,131,71,461,4,1,5,10,12,123,65,419,159,75,490,0.4485981308411215,0.20833333333333334,0.5419847328244275,0.14084507042253522,0.5284552845528455,0.15384615384615385,0.4716981132075472,0.16
28,D,1.57,3.8,6.5,5,2,3,14,10,96,47,462,131,63,448,3,3,4,8,8,123,63,474,133,63,436,0.4895833333333333,0.2978723404255319,0.48091603053435117,0.15873015873015872,0.5121951219512195,0.12698412698412698,0.47368421052631576,0.12698412698412698
29,D,2.2,3.3,3.4,4,3,3,11,15,112,53,413,141,71,497,2,3,5,15,18,106,51,437,119,44,473,0.4732142857142857,0.20754716981132076,0.5035460992907801,0.2112676056338028,0.4811320754716981,0.29411764705882354,0.3697478991596639,0.4090909090909091
30,D,2.4,3.4,2.88,4,2,4,9,12,75,42,428,144,73,482,5,3,2,18,13,99,44,426,166,79,484,0.56,0.21428571428571427,0.5069444444444444,0.1643835616438356,0.4444444444444444,0.4090909090909091,0.4759036144578313,0.16455696202531644
31,H,1.73,3.6,5.0,3,3,4,9,14,135,62,456,110,50,454,2,1,7,8,22,121,54,422,122,69,488,0.45925925925925926,0.14516129032258066,0.45454545454545453,0.28,0.4462809917355372,0.14814814814814814,0.5655737704918032,0.3188405797101449
32,A,1.91,3.5,4.0,4,2,4,13,13,137,69,487,120,62,423,3,4,3,12,13,108,52,453,144,82,457,0.5036496350364964,0.18840579710144928,0.5166666666666667,0.20967741935483872,0.48148148148148145,0.23076923076923078,0.5694444444444444,0.15853658536585366
33,A,4.33,3.6,1.83,3,2,5,20,15,117,64,459,98,46,451,5,3,2,18,9,166,91,537,113,66,373,0.5470085470085471,0.3125,0.46938775510204084,0.32608695652173914,0.5481927710843374,0.1978021978021978,0.584070796460177,0.13636363636363635
34,H,2.1,3.3,3.6,3,4,3,10,14,119,54,442,125,65,468,2,3,5,9,14,101,47,426,109,53,484,0.453781512605042,0.18518518518518517,0.52,0.2153846153846154,0.46534653465346537,0.19148936170212766,0.48623853211009177,0.2641509433962264
35,A,1.8,3.4,5.0,7,2,1,20,4,170,88,492,97,41,418,4,2,4,17,17,162,76,526,91,48,383,0.5176470588235295,0.22727272727272727,0.422680412371134,0.0975609756097561,0.4691358024691358,0.2236842105263158,0.5274725274725275,0.3541666666666667
