id|team_fifa_api_id|team_api_id|date|buildUpPlaySpeed|buildUpPlaySpeedClass|buildUpPlayDribbling|buildUpPlayDribblingClass|buildUpPlayPassing|buildUpPlayPassingClass|buildUpPlayPositioningClass|chanceCreationPassing|chanceCreationPassingClass|chanceCreationCrossing|chanceCreationCrossingClass|chanceCreationShooting|chanceCreationShootingClass|chanceCreationPositioningClass|defencePressure|defencePressureClass|defenceAggression|defenceAggressionClass|defenceTeamWidth|defenceTeamWidthClass|defenceDefenderLineClass
101|100409|8406|2010-02-22 00:00:00|45|Balanced||Little|45|Mixed|Organised|35|Normal|70|Lots|70|Lots|Organised|45|Medium|55|Press|45|Normal|Cover
102|100409|8406|2011-02-22 00:00:00|68|Fast||Little|40|Mixed|Organised|52|Normal|64|Normal|72|Lots|Organised|59|Medium|49|Press|42|Normal|Cover
103|100409|8406|2012-02-22 00:00:00|55|Balanced||Little|55|Mixed|Organised|49|Normal|57|Normal|55|Normal|Organised|47|Medium|58|Press|56|Normal|Cover
104|100409|8406|2013-09-20 00:00:00|40|Balanced||Little|55|Mixed|Organised|49|Normal|72|Lots|53|Normal|Organised|33|Deep|43|Press|52|Normal|Cover
105|100409|8406|2014-09-19 00:00:00|62|Balanced|38|Normal|69|Long|Organised|41|Normal|63|Normal|56|Normal|Organised|47|Medium|55|Press|52|Normal|Cover
106|100409|8406|2015-09-10 00:00:00|59|Balanced|51|Normal|55|Mixed|Organised|49|Normal|62|Normal|55|Normal|Organised|34|Medium|50|Press|59|Normal|Cover
137|32|8178|2010-02-22 00:00:00|70|Fast||Little|30|Short|Organised|70|Risky|70|Lots|70|Lots|Organised|70|High|60|Press|70|Wide|Cover
138|32|8178|2011-02-22 00:00:00|67|Fast||Little|38|Mixed|Organised|51|Normal|47|Normal|55|Normal|Organised|57|Medium|39|Press|51|Normal|Cover
139|32|8178|2012-02-22 00:00:00|58|Balanced||Little|55|Mixed|Organised|52|Normal|55|Normal|56|Normal|Organised|50|Medium|42|Press|47|Normal|Cover
140|32|8178|2013-09-20 00:00:00|64|Balanced||Little|55|Mixed|Organised|52|Normal|54|Normal|37|Normal|Organised|58|Medium|38|Press|47|Normal|Cover
141|32|8178|2014-09-19 00:00:00|69|Fast|30|Little|55|Mixed|Organised|52|Normal|55|Normal|39|Normal|Organised|50|Medium|46|Press|54|Normal|Cover
142|32|8178|2015-09-10 00:00:00|73|Fast|29|Little|55|Mixed|Organised|77|Risky|54|Normal|61|Normal|Organised|61|Medium|72|Double|50|Normal|Cover
143|21|9823|2010-02-22 00:00:00|65|Balanced||Little|40|Mixed|Free Form|65|Normal|70|Lots|70|Lots|Free Form|70|High|40|Press|65|Normal|Cover
144|21|9823|2011-02-22 00:00:00|42|Balanced||Little|40|Mixed|Organised|34|Normal|30|Little|72|Lots|Free Form|39|Medium|52|Press|65|Normal|Cover
145|21|9823|2012-02-22 00:00:00|47|Balanced||Little|40|Mixed|Organised|34|Normal|31|Little|55|Normal|Organised|49|Medium|35|Press|50|Normal|Cover
146|21|9823|2013-09-20 00:00:00|56|Balanced||Little|41|Mixed|Organised|40|Normal|44|Normal|39|Normal|Organised|52|Medium|54|Press|52|Normal|Cover
147|21|9823|2014-09-19 00:00:00|37|Balanced|34|Normal|22|Short|Free Form|21|Safe|38|Normal|40|Normal|Free Form|61|Medium|59|Press|40|Normal|Cover
148|21|9823|2015-09-10 00:00:00|45|Balanced|24|Little|28|Short|Free Form|37|Normal|31|Little|22|Little|Free Form|72|High|53|Press|59|Normal|Cover
210|22|9789|2010-02-22 00:00:00|70|Fast||Little|45|Mixed|Organised|70|Risky|34|Normal|66|Normal|Free Form|54|Medium|70|Double|53|Normal|Offside Trap
211|22|9789|2011-02-22 00:00:00|73|Fast||Little|43|Mixed|Organised|60|Normal|53|Normal|64|Normal|Organised|59|Medium|67|Double|46|Normal|Cover
212|22|9789|2012-02-22 00:00:00|71|Fast||Little|45|Mixed|Organised|67|Risky|44|Normal|70|Lots|Free Form|58|Medium|69|Double|46|Normal|Cover
213|22|9789|2013-09-20 00:00:00|74|Fast||Little|45|Mixed|Organised|70|Risky|48|Normal|76|Lots|Organised|60|Medium|70|Double|48|Normal|Cover
214|22|9789|2014-09-19 00:00:00|76|Fast|33|Little|61|Mixed|Organised|53|Normal|44|Normal|73|Lots|Free Form|60|Medium|68|Double|43|Normal|Cover
215|22|9789|2015-09-10 00:00:00|71|Fast|37|Normal|40|Mixed|Organised|70|Risky|44|Normal|49|Normal|Free Form|65|Medium|71|Double|40|Normal|Cover
216|23|9788|2010-02-22 00:00:00|65|Balanced||Little|45|Mixed|Organised|50|Normal|70|Lots|65|Normal|Organised|55|Medium|40|Press|65|Normal|Cover
217|23|9788|2011-02-22 00:00:00|63|Balanced||Little|46|Mixed|Organised|60|Normal|51|Normal|61|Normal|Organised|49|Medium|58|Press|49|Normal|Cover
218|23|9788|2012-02-22 00:00:00|57|Balanced||Little|64|Mixed|Organised|54|Normal|48|Normal|55|Normal|Organised|33|Deep|43|Press|38|Normal|Cover
219|23|9788|2013-09-20 00:00:00|76|Fast||Little|40|Mixed|Organised|66|Normal|48|Normal|30|Little|Free Form|33|Deep|53|Press|41|Normal|Cover
220|23|9788|2014-09-19 00:00:00|31|Slow|53|Normal|32|Short|Organised|38|Normal|26|Little|49|Normal|Free Form|43|Medium|50|Press|41|Normal|Cover
221|23|9788|2015-09-10 00:00:00|31|Slow|53|Normal|32|Short|Organised|38|Normal|26|Little|49|Normal|Free Form|41|Medium|48|Press|39|Normal|Cover
342|110502|8262|2015-09-10 00:00:00|59|Balanced|43|Normal|77|Long|Organised|52|Normal|77|Lots|45|Normal|Organised|32|Deep|56|Press|41|Normal|Cover
372|1824|9810|2010-02-22 00:00:00|60|Balanced||Little|35|Mixed|Organised|35|Normal|70|Lots|60|Normal|Organised|65|Medium|30|Contain|45|Normal|Cover
373|1824|9810|2011-02-22 00:00:00|52|Balanced||Little|43|Mixed|Organised|62|Normal|62|Normal|41|Normal|Organised|48|Medium|50|Press|53|Normal|Cover
374|1824|9810|2012-02-22 00:00:00|38|Balanced||Little|34|Mixed|Organised|47|Normal|45|Normal|48|Normal|Organised|46|Medium|45|Press|54|Normal|Cover
375|1824|9810|2013-09-20 00:00:00|41|Balanced||Little|34|Mixed|Organised|47|Normal|45|Normal|48|Normal|Organised|46|Medium|45|Press|57|Normal|Cover
376|1824|9810|2014-09-19 00:00:00|63|Balanced|48|Normal|42|Mixed|Organised|57|Normal|50|Normal|52|Normal|Organised|43|Medium|46|Press|55|Normal|Cover
377|1824|9810|2015-09-10 00:00:00|51|Balanced|41|Normal|38|Mixed|Organised|47|Normal|58|Normal|40|Normal|Organised|48|Medium|42|Press|55|Normal|Cover
420|31|8722|2010-02-22 00:00:00|55|Balanced||Little|65|Mixed|Organised|65|Normal|40|Normal|60|Normal|Organised|45|Medium|55|Press|70|Wide|Cover
421|31|8722|2011-02-22 00:00:00|58|Balanced||Little|71|Long|Organised|42|Normal|39|Normal|50|Normal|Organised|40|Medium|40|Press|56|Normal|Cover
422|31|8722|2012-02-22 00:00:00|53|Balanced||Little|53|Mixed|Organised|57|Normal|44|Normal|57|Normal|Organised|43|Medium|55|Press|67|Wide|Cover
423|31|8722|2013-09-20 00:00:00|60|Balanced||Little|56|Mixed|Organised|57|Normal|44|Normal|57|Normal|Organised|43|Medium|55|Press|67|Wide|Cover
424|31|8722|2014-09-19 00:00:00|59|Balanced|53|Normal|57|Mixed|Organised|53|Normal|47|Normal|59|Normal|Organised|57|Medium|46|Press|54|Normal|Cover
425|31|8722|2015-09-10 00:00:00|59|Balanced|47|Normal|65|Mixed|Organised|57|Normal|36|Normal|71|Lots|Organised|42|Medium|56|Press|51|Normal|Cover
470|25|8358|2010-02-22 00:00:00|50|Balanced||Little|30|Short|Organised|30|Safe|70|Lots|60|Normal|Organised|55|Medium|50|Press|50|Normal|Cover
471|25|8358|2011-02-22 00:00:00|50|Balanced||Little|47|Mixed|Organised|47|Normal|41|Normal|34|Normal|Organised|41|Medium|42|Press|50|Normal|Cover
472|25|8358|2012-02-22 00:00:00|52|Balanced||Little|61|Mixed|Organised|62|Normal|50|Normal|42|Normal|Organised|30|Deep|50|Press|39|Normal|Cover
473|25|8358|2013-09-20 00:00:00|59|Balanced||Little|38|Mixed|Organised|55|Normal|39|Normal|43|Normal|Free Form|53|Medium|62|Press|37|Normal|Cover
474|25|8358|2014-09-19 00:00:00|39|Balanced|58|Normal|48|Mixed|Organised|55|Normal|33|Little|44|Normal|Free Form|59|Medium|60|Press|39|Normal|Cover
475|25|8358|2015-09-10 00:00:00|59|Balanced|54|Normal|38|Mixed|Organised|55|Normal|44|Normal|45|Normal|Free Form|53|Medium|62|Press|29|Narrow|Cover
549|28|9790|2010-02-22 00:00:00|70|Fast||Little|60|Mixed|Organised|70|Risky|60|Normal|70|Lots|Organised|70|High|45|Press|60|Normal|Cover
550|28|9790|2011-02-22 00:00:00|52|Balanced||Little|29|Short|Organised|61|Normal|58|Normal|54|Normal|Organised|60|Medium|55|Press|52|Normal|Cover
551|28|9790|2012-02-22 00:00:00|46|Balanced||Little|40|Mixed|Organised|60|Normal|55|Normal|39|Normal|Organised|55|Medium|47|Press|48|Normal|Cover
552|28|9790|2013-09-20 00:00:00|34|Balanced||Little|38|Mixed|Organised|34|Normal|59|Normal|48|Normal|Organised|45|Medium|35|Press|58|Normal|Cover
553|28|9790|2014-09-19 00:00:00|45|Balanced|61|Normal|58|Mixed|Organised|60|Normal|73|Lots|62|Normal|Organised|45|Medium|32|Contain|63|Normal|Cover
554|28|9790|2015-09-10 00:00:00|42|Balanced|56|Normal|52|Mixed|Organised|62|Normal|58|Normal|47|Normal|Organised|44|Medium|41|Press|49|Normal|Cover
558|485|9904|2010-02-22 00:00:00|55|Balanced||Little|70|Long|Organised|65|Normal|45|Normal|65|Normal|Organised|70|High|70|Double|70|Wide|Cover
